fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6675,0.5694736842105264,0.6379310344827587,0.37,0.4683544303797469
01,source,0.7031,0.5089473684210526,0.6304347826086957,0.29,0.3972602739726027
02,source,0.6383,0.5289473684210526,0.6756756756756757,0.25,0.36496350364963503
00,target,0.6939,0.5489473684210526,0.6571428571428571,0.46,0.5411764705882354
01,target,0.5051,0.4805263157894737,0.5211267605633803,0.37,0.43274853801169594
02,target,0.6303999999999998,0.5505263157894736,0.494949494949495,0.98,0.6577181208053691
arithmetic mean,,0.6397166666666666,0.5312280701754386,0.602876767570477,0.4533333333333333,0.4770368895678809
harmonic mean,,0.6319586668336679,0.529541453811634,0.5943630208870848,0.3738783072621876,0.45901663911260815

gearbox
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5598046398046398,0.517254675149412,0.46,0.21904761904761905,0.2967741935483871
01,source,0.7283093278463649,0.5188975525232835,0.625,0.2777777777777778,0.3846153846153846
02,source,0.5962157809983896,0.517826369466339,0.6282051282051282,0.35507246376811596,0.4537037037037037
00,target,0.7389081790123457,0.5619111435997401,0.7571428571428571,0.49074074074074076,0.5955056179775281
01,target,0.7390260631001372,0.5156486896252979,0.6585365853658537,0.25,0.36241610738255037
02,target,0.6662698412698413,0.5365497076023392,0.7246376811594203,0.4166666666666667,0.5291005291005292
arithmetic mean,,0.6714223053386198,0.5280146896610686,0.6422537086455432,0.33488421133348667,0.43701925605468056
harmonic mean,,0.6634233153609934,0.5275049231870438,0.6259765877913678,0.308971294031638,0.4137317172937822

pump
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6728000000000001,0.6236842105263158,0.7543859649122807,0.43,0.5477707006369427
01,source,0.8189,0.5736842105263158,0.7368421052631579,0.7,0.717948717948718
02,source,0.6377,0.5594736842105263,0.6721311475409836,0.41,0.5093167701863354
00,target,0.5856,0.5152631578947369,0.5538461538461539,0.36,0.43636363636363634
01,target,0.4638,0.53,0.46540880503144655,0.74,0.5714285714285714
02,target,0.6165000000000002,0.5189473684210526,0.5681818181818182,0.25,0.3472222222222222
arithmetic mean,,0.6325500000000001,0.5535087719298245,0.6251326657959735,0.48166666666666663,0.521675103131071
harmonic mean,,0.6146644385579272,0.5510443911189539,0.6069966479429543,0.418926942084968,0.4957235646987059

slider
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7401000000000001,0.5236842105263158,0.7021276595744681,0.33,0.4489795918367347
01,source,0.8346,0.6089473684210527,0.8208955223880597,0.55,0.6586826347305389
02,source,0.7866310160427807,0.6500609813303312,0.7432432432432432,0.5392156862745098,0.6249999999999999
00,target,0.6711999999999999,0.5673684210526316,0.6885245901639344,0.42,0.5217391304347826
01,target,0.6643877551020408,0.5210526315789473,0.6666666666666666,0.36,0.4675324675324675
02,target,0.4634755863129566,0.5010016390457112,0.49206349206349204,0.6078431372549019,0.543859649122807
arithmetic mean,,0.6933990595762963,0.562019208659165,0.6855868623499773,0.46784313725490195,0.5442989122762217
harmonic mean,,0.6686565468510048,0.5572189797308063,0.6687086200939423,0.44421668461022057,0.5338211377400007

valve
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5006999999999999,0.5068421052631579,0.6060606060606061,0.2,0.3007518796992481
01,source,0.5376,0.49315789473684213,0.5476190476190477,0.23,0.32394366197183105
02,source,0.5976999999999999,0.5210526315789473,0.6,0.24,0.34285714285714286
00,target,0.46959999999999996,0.48894736842105263,0.4,0.14,0.20740740740740743
01,target,0.5753999999999999,0.5452631578947369,0.5197368421052632,0.79,0.626984126984127
02,target,0.5529,0.49157894736842106,0.55,0.22,0.3142857142857143
arithmetic mean,,0.5389833333333334,0.5078070175438597,0.5372360826308196,0.30333333333333334,0.35270498886757845
harmonic mean,,0.5354063427287202,0.5070398653339703,0.52700986728072,0.22668345995433228,0.3170106881097808

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.6352142729829833,0.5365155515938711,0.6186172173985581,0.40821213638434445,0.4665470299794866
"harmonic mean over all machine types, sections, and domains",,0.618819883024955,0.5338608092374659,0.6009362478066043,0.3342054701080785,0.42953100552725876

